image_id,r,c,direction_id,direction_seed,gain,stability_score_if_available
cifar10_00000_cat,12,7,0,321,0.9428684711456299,1.2063112258911133
cifar10_00000_cat,24,18,0,321,0.9316496849060059,1.9705703258514404
cifar10_00000_cat,29,27,0,321,0.9407635927200317,1.8726516962051392
cifar10_00000_cat,17,13,0,321,0.8901990056037903,1.7440412044525146
cifar10_00000_cat,21,17,0,321,1.0475375652313232,1.7321434020996094
cifar10_00000_cat,13,5,0,321,0.9272559881210327,1.3600845336914062
cifar10_00000_cat,16,16,0,321,0.898101806640625,1.7042845487594604
cifar10_00000_cat,12,15,0,321,0.9638060927391052,1.6444196701049805
cifar10_00000_cat,30,6,0,321,0.8696043491363525,1.9265269041061401
cifar10_00000_cat,30,3,0,321,0.9309569597244263,1.823997139930725
cifar10_00000_cat,11,4,0,321,0.9158403873443604,1.7041977643966675
cifar10_00000_cat,0,23,0,321,0.919437825679779,1.4193881750106812
cifar10_00000_cat,16,23,0,321,0.9134608507156372,1.561877965927124
cifar10_00000_cat,12,28,0,321,0.9498902559280396,1.613384485244751
cifar10_00000_cat,7,4,0,321,0.9174945950508118,1.1621290445327759
cifar10_00000_cat,1,27,0,321,0.9611557126045227,1.0970745086669922
cifar10_00000_cat,22,29,0,321,0.9435242414474487,1.82774019241333
cifar10_00000_cat,29,14,0,321,0.9963151216506958,1.7170984745025635
cifar10_00000_cat,0,28,0,321,0.9603137969970703,1.3650788068771362
cifar10_00000_cat,7,23,0,321,0.9458698630332947,1.5586155652999878
cifar10_00000_cat,21,2,0,321,0.9426389932632446,1.8292738199234009
cifar10_00000_cat,15,9,0,321,1.041222333908081,1.5451250076293945
cifar10_00000_cat,7,22,0,321,0.9401130080223083,1.5982588529586792
cifar10_00000_cat,31,18,0,321,0.8624625205993652,1.723632574081421
cifar10_00000_cat,20,5,0,321,0.8742890954017639,1.76170015335083
cifar10_00000_cat,14,7,0,321,0.9907850027084351,1.1854310035705566
cifar10_00000_cat,9,0,0,321,0.9541365504264832,1.903184175491333
cifar10_00000_cat,24,6,0,321,0.8760880827903748,1.823305606842041
cifar10_00000_cat,31,15,0,321,0.9248120784759521,1.8679609298706055
cifar10_00000_cat,11,27,0,321,0.8717747926712036,1.6853820085525513
cifar10_00000_cat,15,12,0,321,1.025449275970459,1.8836647272109985
cifar10_00000_cat,15,21,0,321,0.959200918674469,1.7333190441131592
cifar10_00000_cat,2,14,0,321,0.9324008822441101,1.0343940258026123
cifar10_00000_cat,29,23,0,321,0.924466609954834,1.93886137008667
cifar10_00000_cat,11,28,0,321,0.9390801191329956,1.4978487491607666
cifar10_00000_cat,29,11,0,321,0.9906730651855469,1.9780296087265015
cifar10_00000_cat,17,7,0,321,0.9326491355895996,1.7986173629760742
cifar10_00000_cat,1,12,0,321,0.905307948589325,1.1399506330490112
cifar10_00000_cat,22,30,0,321,0.9746338129043579,1.9783612489700317
cifar10_00000_cat,1,24,0,321,0.9416672587394714,1.187756061553955
cifar10_00000_cat,14,22,0,321,0.956362783908844,1.7487094402313232
cifar10_00000_cat,8,22,0,321,0.9316613078117371,1.7247925996780396
cifar10_00000_cat,29,29,0,321,0.9437768459320068,1.682692527770996
cifar10_00000_cat,20,16,0,321,0.9339127540588379,1.8382248878479004
cifar10_00000_cat,11,2,0,321,0.8800647854804993,1.8869998455047607
cifar10_00000_cat,0,26,0,321,0.9355956315994263,1.4691723585128784
cifar10_00000_cat,27,19,0,321,0.9313589334487915,1.8914437294006348
cifar10_00000_cat,10,13,0,321,0.9289442300796509,1.8644580841064453
cifar10_00000_cat,21,3,0,321,0.94388747215271,1.825643539428711
cifar10_00000_cat,0,7,0,321,0.9299148321151733,1.3987038135528564
cifar10_00000_cat,0,4,0,321,0.9855028390884399,1.447014570236206
cifar10_00000_cat,18,8,0,321,0.9295068979263306,1.9777441024780273
cifar10_00000_cat,15,25,0,321,0.9419064521789551,1.7450990676879883
cifar10_00000_cat,31,9,0,321,0.8623158931732178,1.5313942432403564
cifar10_00000_cat,3,26,0,321,0.8596566915512085,1.142982006072998
cifar10_00000_cat,15,3,0,321,0.9454174041748047,1.8762274980545044
cifar10_00000_cat,21,23,0,321,0.894981861114502,2.0319271087646484
cifar10_00000_cat,24,15,0,321,0.9576694369316101,1.9518852233886719
cifar10_00000_cat,26,10,0,321,0.9693431258201599,1.823494553565979
cifar10_00000_cat,5,15,0,321,0.875490665435791,1.3318065404891968
cifar10_00000_cat,11,8,0,321,0.8832621574401855,1.4726141691207886
cifar10_00000_cat,8,19,0,321,0.9461317658424377,1.5932060480117798
cifar10_00000_cat,16,24,0,321,0.9786479473114014,1.6778264045715332
cifar10_00000_cat,3,23,0,321,0.8822680115699768,1.4609798192977905
cifar10_00000_cat,28,7,0,321,0.9656744003295898,2.046247959136963
cifar10_00000_cat,6,16,0,321,0.9472844004631042,1.4827654361724854
cifar10_00000_cat,12,8,0,321,0.8986035585403442,1.39077627658844
cifar10_00000_cat,31,2,0,321,0.9121333956718445,1.527850866317749
cifar10_00000_cat,21,14,0,321,0.7741296291351318,1.542311429977417
cifar10_00000_cat,20,27,0,321,0.768630862236023,1.3974497318267822
cifar10_00000_cat,10,17,0,321,0.9126570224761963,1.489408254623413
cifar10_00000_cat,12,2,0,321,0.9119070768356323,1.8805677890777588
cifar10_00000_cat,20,13,0,321,0.8929859399795532,1.931079387664795
cifar10_00000_cat,11,29,0,321,0.8822628855705261,1.4600569009780884
cifar10_00000_cat,24,30,0,321,0.936644971370697,1.9559147357940674
cifar10_00000_cat,17,20,0,321,0.8944671750068665,1.636054277420044
cifar10_00000_cat,29,16,0,321,0.9535965919494629,1.83943772315979
cifar10_00000_cat,26,27,0,321,0.9132672548294067,1.9432390928268433
cifar10_00000_cat,10,3,0,321,0.945250928401947,1.8441044092178345
cifar10_00000_cat,7,18,0,321,0.9026690721511841,1.6328463554382324
cifar10_00000_cat,14,17,0,321,0.9945585131645203,1.7219657897949219
cifar10_00000_cat,23,16,0,321,0.8213564157485962,1.7873461246490479
cifar10_00000_cat,27,11,0,321,0.8061257004737854,1.803745150566101
cifar10_00000_cat,2,21,0,321,0.8362228870391846,1.4697749614715576
cifar10_00000_cat,6,23,0,321,0.8103474378585815,1.6778452396392822
cifar10_00000_cat,25,14,0,321,0.9805179238319397,1.9138381481170654
cifar10_00000_cat,30,18,0,321,0.9280008673667908,1.7958905696868896
cifar10_00000_cat,16,6,0,321,0.9159387350082397,1.7513346672058105
cifar10_00000_cat,2,10,0,321,0.9130129814147949,1.1898524761199951
cifar10_00000_cat,12,20,0,321,0.8400769233703613,1.9245280027389526
cifar10_00000_cat,17,28,0,321,0.9682082533836365,1.4224576950073242
cifar10_00000_cat,1,25,0,321,0.9505813717842102,1.1398303508758545
cifar10_00000_cat,10,27,0,321,0.9218018054962158,1.512779951095581
cifar10_00000_cat,21,21,0,321,0.8117731809616089,1.7493157386779785
cifar10_00000_cat,27,26,0,321,0.9229399561882019,2.017861843109131
cifar10_00000_cat,22,26,0,321,0.9378499984741211,1.9445371627807617
cifar10_00000_cat,1,17,0,321,0.9294143915176392,1.0668232440948486
cifar10_00000_cat,9,20,0,321,0.8807202577590942,1.6495826244354248
cifar10_00000_cat,12,9,0,321,0.9819576740264893,1.650359869003296
cifar10_00000_cat,6,11,0,321,0.8584263324737549,1.2955975532531738
cifar10_00000_cat,20,15,0,321,0.8573073744773865,1.896540880203247
cifar10_00000_cat,28,27,0,321,0.9325863718986511,1.9023261070251465
cifar10_00000_cat,31,25,0,321,0.9541047215461731,1.7116374969482422
cifar10_00000_cat,14,25,0,321,0.944961428642273,1.729311466217041
cifar10_00000_cat,26,30,0,321,0.9081170558929443,1.7887723445892334
cifar10_00000_cat,4,14,0,321,0.9172000885009766,1.2572078704833984
cifar10_00000_cat,6,29,0,321,0.9418147802352905,1.0407304763793945
cifar10_00000_cat,26,17,0,321,0.7078940272331238,1.7870688438415527
cifar10_00000_cat,20,10,0,321,0.9411133527755737,1.8703036308288574
cifar10_00000_cat,12,23,0,321,0.8684313297271729,1.6981182098388672
cifar10_00000_cat,27,13,0,321,0.8920730352401733,1.833728551864624
cifar10_00000_cat,8,20,0,321,0.9024635553359985,1.7749532461166382
cifar10_00000_cat,26,23,0,321,1.0234360694885254,1.958403468132019
