image_id,r,c,direction_id,direction_seed,gain,stability_score_if_available
cifar10_00000_cat,14,1,0,321,0.9500715732574463,1.7861921787261963
cifar10_00000_cat,13,13,0,321,0.8603981137275696,1.8441319465637207
cifar10_00000_cat,11,8,0,321,0.9576394557952881,1.7935853004455566
cifar10_00000_cat,10,0,0,321,0.9897193908691406,1.5844435691833496
cifar10_00000_cat,6,11,0,321,1.011958122253418,1.589003562927246
cifar10_00000_cat,15,0,0,321,0.9161102771759033,1.593502163887024
cifar10_00000_cat,2,0,0,321,0.9504588842391968,1.3978867530822754
cifar10_00000_cat,6,3,0,321,0.9352613091468811,1.186759114265442
cifar10_00000_cat,9,9,0,321,0.9563518762588501,1.4802005290985107
cifar10_00000_cat,6,12,0,321,1.0059425830841064,1.6141369342803955
cifar10_00000_cat,10,10,0,321,0.8825452327728271,1.7594412565231323
cifar10_00000_cat,7,15,0,321,0.972936749458313,1.4357930421829224
cifar10_00001_ship,13,5,0,321,0.23672528564929962,0.00013715028762817383
cifar10_00001_ship,11,6,0,321,0.9750728011131287,1.62776780128479
cifar10_00001_ship,1,13,0,321,0.864702582359314,1.863689661026001
cifar10_00001_ship,0,0,0,321,0.9456257820129395,2.0997378826141357
cifar10_00001_ship,14,15,0,321,0.9222016334533691,1.7817814350128174
cifar10_00001_ship,15,10,0,321,0.9677613973617554,1.6442254781723022
cifar10_00001_ship,14,11,0,321,1.0222651958465576,1.5546085834503174
cifar10_00001_ship,13,15,0,321,0.9387528896331787,1.774770736694336
cifar10_00001_ship,1,3,0,321,0.9250079393386841,1.7273660898208618
cifar10_00001_ship,12,6,0,321,0.8791056275367737,1.1864864826202393
cifar10_00001_ship,9,5,0,321,0.980932354927063,1.8824526071548462
cifar10_00001_ship,4,7,0,321,0.9145550727844238,1.8325588703155518
cifar10_00002_ship,13,14,0,321,0.9692615270614624,1.2346673011779785
cifar10_00002_ship,14,6,0,321,0.9972048401832581,1.420454502105713
cifar10_00002_ship,6,7,0,321,0.9124467372894287,1.8590195178985596
cifar10_00002_ship,12,7,0,321,0.9839023947715759,1.6896920204162598
cifar10_00002_ship,12,15,0,321,0.9642691016197205,1.2136174440383911
cifar10_00002_ship,8,15,0,321,0.9776003360748291,1.8329956531524658
cifar10_00002_ship,14,1,0,321,0.9890756607055664,1.4073982238769531
cifar10_00002_ship,10,15,0,321,0.9542989730834961,1.6366373300552368
cifar10_00002_ship,6,2,0,321,0.9879752397537231,1.695697546005249
cifar10_00002_ship,15,5,0,321,0.9279302954673767,1.5146894454956055
cifar10_00002_ship,8,7,0,321,0.9993982315063477,1.7306795120239258
cifar10_00002_ship,13,3,0,321,0.9317088723182678,1.6181330680847168
