model,eps,n_images,acc_mean,acc_std,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std
SD-VAE-MSE,2.0,10,98.0,4.58257569495584,26.491265217206877,10.356710911817636,0.6192273845833637,0.3920807315402412,0.11601816238835454,0.13968011870774275
SD-VAE-MSE,5.0,10,99.5,1.5,21.05362771167124,6.751282387326869,0.5730723686594953,0.3643628330586164,0.3172344073653221,0.21117710390976976
SD-VAE-EMA,2.0,10,99.0,2.0,26.488574969627173,11.226962161207982,0.6125815114533971,0.3917436127379915,0.08694257768802345,0.0863644145050172
SD-VAE-EMA,5.0,10,98.5,2.29128784747792,20.91047910490112,7.1367295838259155,0.568816279793038,0.36677768232863206,0.28829284235835073,0.17135965644867696
SDXL-VAE,2.0,10,98.5,2.29128784747792,22.992615586591832,6.866456532834023,0.6101012706044672,0.38270176776129367,0.23562214002013207,0.19471347127002325
SDXL-VAE,5.0,10,89.0,8.306623862918075,18.62669068368146,4.537679987962662,0.5619597585128677,0.3511720559210127,0.4415420204401016,0.33613031384727315
Cross: SD-VAE-MSE->SD-VAE-EMA,5.0,5,100.0,0.0,20.538893213666118,5.960839171418419,0.5725967668259349,0.364217749457285,0.3337425753474236,0.21848778197625382
Cross: SD-VAE-EMA->SD-VAE-MSE,5.0,5,99.0,2.0,20.77415183221938,6.816641501771727,0.5686801967960633,0.36489337235605557,0.29678824841976165,0.1724998135885388
