epsilon,detector,auc,accuracy,operating_point,target_fpr,threshold,achieved_fpr,precision,recall,tn,fp,fn,tp
2.0,MLP-Combined,1.0,1.0,5%,0.05,0.00841145746700427,0.06666666666666667,0.9375,1.0,28,2,0,30
5.0,LR-Latent,1.0,0.9833333333333333,0.1%,0.001,-0.7053659709410414,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
5.0,LR-Latent,1.0,0.9833333333333333,1%,0.01,-0.7053659709410414,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
5.0,LR-Latent,1.0,0.9833333333333333,5%,0.05,-0.8888493167880449,0.06666666666666667,0.9375,1.0,28,2,0,30
5.0,MLP-Latent,0.9977777777777778,0.9833333333333333,0.1%,0.001,0.46210558845577476,0.03333333333333333,0.9666666666666667,0.9666666666666667,29,1,1,29
5.0,MLP-Latent,0.9977777777777778,0.9833333333333333,1%,0.01,0.46210558845577476,0.03333333333333333,0.9666666666666667,0.9666666666666667,29,1,1,29
5.0,MLP-Latent,0.9977777777777778,0.9833333333333333,5%,0.05,0.1972666805803269,0.06666666666666667,0.9354838709677419,0.9666666666666667,28,2,1,29
5.0,LR-Residual,1.0,1.0,0.1%,0.001,-3.9868436474377704,0.2,0.8333333333333334,1.0,24,6,0,30
5.0,LR-Residual,1.0,1.0,1%,0.01,-3.9868436474377704,0.2,0.8333333333333334,1.0,24,6,0,30
5.0,LR-Residual,1.0,1.0,5%,0.05,-3.9868436474377704,0.2,0.8333333333333334,1.0,24,6,0,30
5.0,MLP-Residual,1.0,1.0,0.1%,0.001,0.005100170612176841,0.2,0.8333333333333334,1.0,24,6,0,30
5.0,MLP-Residual,1.0,1.0,1%,0.01,0.005100170612176841,0.2,0.8333333333333334,1.0,24,6,0,30
5.0,MLP-Residual,1.0,1.0,5%,0.05,0.005100170612176841,0.2,0.8333333333333334,1.0,24,6,0,30
5.0,LR-Spectral,1.0,1.0,0.1%,0.001,-4.581836955349417,0.2,0.8333333333333334,1.0,24,6,0,30
5.0,LR-Spectral,1.0,1.0,1%,0.01,-4.581836955349417,0.2,0.8333333333333334,1.0,24,6,0,30
5.0,LR-Spectral,1.0,1.0,5%,0.05,-4.581836955349417,0.2,0.8333333333333334,1.0,24,6,0,30
5.0,LR-Combined,1.0,1.0,0.1%,0.001,-4.199518315787366,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
5.0,LR-Combined,1.0,1.0,1%,0.01,-4.199518315787366,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
5.0,LR-Combined,1.0,1.0,5%,0.05,-4.58031987872531,0.06666666666666667,0.9375,1.0,28,2,0,30
5.0,MLP-Combined,1.0,1.0,0.1%,0.001,0.005596413012211272,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
5.0,MLP-Combined,1.0,1.0,1%,0.01,0.005596413012211272,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
5.0,MLP-Combined,1.0,1.0,5%,0.05,0.004164626236114735,0.06666666666666667,0.9375,1.0,28,2,0,30
