epsilon,image_index,class_index,class_name,bit_accuracy,psnr,ssim,lpips
2.0,48,1,automobile,95.0,38.61935684132863,0.981712913000441,0.03999374061822891
2.0,49,1,automobile,100.0,37.2860124795993,0.9775370392704027,0.034414567053318024
2.0,50,1,automobile,100.0,38.081851866644925,0.9797639561112937,0.0245895404368639
2.0,51,1,automobile,100.0,37.589129906317915,0.9813051571696801,0.04011962562799454
2.0,52,1,automobile,95.0,38.15558333245556,0.9730334227741267,0.023782923817634583
2.0,53,1,automobile,100.0,37.358392037287786,0.9785294786784364,0.040633220225572586
2.0,54,1,automobile,95.0,39.78888896575122,0.986483921100092,0.023766320198774338
2.0,55,1,automobile,100.0,36.91472529147109,0.9775802370621921,0.029725782573223114
2.0,56,1,automobile,100.0,39.242331875707485,0.98315347876233,0.029727859422564507
2.0,57,1,automobile,100.0,38.66317796523299,0.9841776513663301,0.04965183138847351
2.0,58,1,automobile,90.0,37.67072693165956,0.9812082599878019,0.024335026741027832
2.0,59,1,automobile,100.0,39.2344642009235,0.9802884426814175,0.021507466211915016
2.0,60,2,bird,95.0,37.77322494536291,0.975251834559753,0.03372644633054733
2.0,61,2,bird,100.0,39.55195237389414,0.9831217152177997,0.025221094489097595
2.0,62,2,bird,100.0,37.57341791318496,0.9755464425907304,0.06298669427633286
2.0,63,2,bird,95.0,35.59126584668523,0.9708423866885166,0.027475228533148766
2.0,64,2,bird,100.0,40.89820687440933,0.9871213339563512,0.049054551869630814
2.0,65,2,bird,100.0,38.368539392483896,0.9822265793627589,0.031707294285297394
2.0,66,2,bird,100.0,39.70123910791237,0.9862491809185614,0.04773285239934921
2.0,67,2,bird,100.0,37.707785230458015,0.9765209740134274,0.03387858346104622
2.0,68,2,bird,100.0,39.59364424311092,0.98237349781926,0.04873505234718323
2.0,69,2,bird,85.0,43.94064631469074,0.9795040894612713,0.019958656281232834
2.0,70,2,bird,100.0,38.43594146333813,0.979340138907861,0.04141175001859665
2.0,71,2,bird,90.0,37.83361383967365,0.9808849247695549,0.03906780108809471
2.0,72,2,bird,100.0,39.80466941943124,0.9853847430920933,0.05152621865272522
2.0,73,2,bird,95.0,36.97890038602814,0.9743910394114529,0.062411002814769745
2.0,74,2,bird,100.0,38.59833447471906,0.9825671712797056,0.021486952900886536
2.0,75,2,bird,100.0,40.32136075797803,0.9837634581902682,0.018905052915215492
2.0,76,2,bird,95.0,38.88805356019333,0.9822322081172165,0.046173907816410065
2.0,77,2,bird,100.0,39.39216785923966,0.988952258457063,0.027017217129468918
2.0,78,2,bird,100.0,36.75286591098268,0.9697377556016028,0.04144927114248276
2.0,79,2,bird,95.0,40.92738425952899,0.9862893335961757,0.05527938902378082
2.0,80,2,bird,95.0,37.83856301125085,0.9814532165732315,0.04992840439081192
2.0,81,2,bird,95.0,37.29687237547095,0.9701615953352792,0.04956204816699028
2.0,82,2,bird,100.0,37.65054947777723,0.976598253274971,0.03568089008331299
2.0,83,2,bird,100.0,40.20735552082243,0.980240031065001,0.029656901955604553
2.0,84,2,bird,100.0,38.27623126387874,0.980704294635682,0.05004391446709633
2.0,85,2,bird,95.0,40.44001076933648,0.9852369672600206,0.045624639838933945
2.0,86,2,bird,100.0,38.59266828870594,0.982282543844021,0.049294985830783844
2.0,87,2,bird,95.0,38.61254040221736,0.9830754333960514,0.03372965380549431
2.0,88,2,bird,95.0,40.288999075957705,0.9842048430965873,0.04225938767194748
2.0,89,2,bird,100.0,38.73628016635284,0.9771775937571631,0.036555591970682144
2.0,90,3,cat,100.0,37.00089400630537,0.9795037596314465,0.050907474011182785
2.0,91,3,cat,100.0,40.133992108864305,0.9843170336319916,0.046163205057382584
2.0,92,3,cat,100.0,40.51708254553315,0.9832022870174181,0.0420500710606575
2.0,93,3,cat,100.0,39.738498910943,0.9816807207887619,0.035473451018333435
2.0,94,3,cat,90.0,39.16079835891138,0.9840254363823049,0.03868905454874039
2.0,95,3,cat,100.0,41.171542951867934,0.9807431986565893,0.02308250404894352
2.0,96,3,cat,100.0,37.66187498563517,0.9790465154503724,0.03880597651004791
2.0,97,3,cat,100.0,39.34082072848213,0.9833178080173286,0.028951115906238556
2.0,98,3,cat,100.0,40.490469810471545,0.9820518513029804,0.025210518389940262
2.0,99,3,cat,100.0,39.458895424032036,0.9809893313214993,0.033461302518844604
2.0,100,3,cat,100.0,38.909485546296956,0.9729225846784281,0.034303538501262665
2.0,101,3,cat,95.0,39.009329939189016,0.9830391715564238,0.027014300227165222
2.0,102,3,cat,100.0,39.97840944301913,0.9856676558082373,0.03767775744199753
2.0,103,3,cat,100.0,42.709973277072166,0.9841780613448572,0.019758526235818863
2.0,104,3,cat,95.0,40.013175087997396,0.9811579643933898,0.03389911353588104
2.0,105,3,cat,95.0,37.31719559174089,0.9696811822854499,0.04056626558303833
2.0,106,3,cat,100.0,36.34889341341299,0.9710288482020379,0.03997991606593132
2.0,107,3,cat,100.0,38.83438282807414,0.9840843798363704,0.0319453701376915
2.0,108,3,cat,95.0,39.722130777779626,0.9860411865922826,0.05822913348674774
2.0,109,3,cat,100.0,36.30967038672533,0.9771619394391751,0.03153441846370697
2.0,110,3,cat,100.0,40.10552152711099,0.9802031500250495,0.03069683536887169
2.0,111,3,cat,90.0,40.32245040630502,0.9785033312213928,0.023814156651496887
2.0,112,3,cat,100.0,37.39511279888966,0.9802331847963724,0.025279631838202477
2.0,113,3,cat,100.0,37.58267216925788,0.9762901193880849,0.044268060475587845
2.0,114,3,cat,95.0,38.52708544555667,0.9816416342569402,0.04995403066277504
2.0,115,3,cat,90.0,44.25597728401801,0.9879851912183174,0.012012333609163761
2.0,116,3,cat,95.0,36.39418789946993,0.9653752062886957,0.05601969361305237
2.0,117,3,cat,100.0,41.58531784535481,0.9766699130062273,0.02683345228433609
2.0,118,3,cat,100.0,40.58733747586213,0.9814067720048151,0.01327885314822197
2.0,119,3,cat,100.0,39.72821195699078,0.9837245851803442,0.0319853350520134
2.0,120,4,deer,90.0,39.47435072219059,0.9845448152591713,0.02626853808760643
2.0,121,4,deer,100.0,40.12822927531198,0.985432503706964,0.044338107109069824
2.0,122,4,deer,100.0,37.38990742578081,0.971119926666235,0.07116883993148804
2.0,123,4,deer,100.0,38.67289956303951,0.9781151116269747,0.043613456189632416
2.0,124,4,deer,90.0,38.509715644341654,0.981627879646422,0.035130541771650314
2.0,125,4,deer,100.0,38.785637882627114,0.9819673540052251,0.05285056680440903
